name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Minneapolis, MN",12/1/2021,10.7,1.9,6,10.7,-1.4,4,2.3,77.8,3.409,100,16.67,rain,0,0,32.8,17.6,207.9,1006,58.2,15.1,40.8,3.6,2,,2021-12-01T07:31:27,2021-12-01T16:32:52,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HPN07,F0824,KSTP,HPN21,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/2/2021,9.8,3.3,6.1,6.5,0.1,3.6,-1.3,59.4,0.884,100,8.33,rain,0,0,49.2,27.3,307.2,1011.9,45.1,15.9,65.4,5.7,3,,2021-12-02T07:32:34,2021-12-02T16:32:32,0.95,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/3/2021,5.5,-0.3,2.6,3.3,-5.1,0,-0.2,82.5,1.599,100,16.67,"rain,snow",0,0,33.5,20.5,327.3,1019.6,71.3,14.2,53.3,4.4,3,,2021-12-03T07:33:40,2021-12-03T16:32:14,0.98,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"F0824,KSTP,HPN21,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/4/2021,1,-2,-0.3,0,-5.9,-4,-8.3,55.8,1.028,100,8.33,"rain,snow",0.5,0.3,,18.1,290.4,1026.4,71.2,14.3,28.4,2.4,2,,2021-12-04T07:34:45,2021-12-04T16:31:59,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/5/2021,3.4,-2,0.1,-0.5,-9,-5.5,-5.1,68.6,0.405,100,16.67,"rain,snow",0.7,0.9,68.4,37.3,184.7,1007.9,98.6,14.1,20.5,1.6,1,,2021-12-05T07:35:48,2021-12-05T16:31:46,0.05,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/6/2021,-1.9,-15.5,-11.3,-9.2,-25.4,-20.2,-18.1,57.4,0,0,0,,0,0.7,76,41.1,299.4,1021.2,34,15.1,84.4,7.3,4,,2021-12-06T07:36:50,2021-12-06T16:31:36,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/7/2021,-8.6,-14.7,-11.1,-11.3,-19.8,-15.3,-15.3,71.8,1.169,100,37.5,snow,0.7,1.1,,13.7,137.7,1020.3,84.5,9.8,28.2,2.2,1,,2021-12-07T07:37:50,2021-12-07T16:31:29,0.12,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/8/2021,-4.6,-15.8,-10.6,-10.9,-15.8,-13.6,-13.8,77.2,0,0,0,snow,0.3,1.6,,19.3,145.2,1015.8,45,14.2,75.5,6.4,4,,2021-12-08T07:38:48,2021-12-08T16:31:24,0.15,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/9/2021,4.5,-4.3,-0.1,1.2,-10.9,-5.1,-5.4,67.9,0,0,0,"rain,snow",0.1,1.4,53.6,25.3,167.1,1004.8,50,15.9,65.1,5.6,3,,2021-12-09T07:39:45,2021-12-09T16:31:22,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/10/2021,-0.7,-4,-1.9,-2.4,-8.8,-4.9,-4.4,82.8,6.992,100,45.83,"rain,snow",4.6,2.9,48.4,29.1,17.7,1010.6,84.4,9.1,11.5,1.1,1,,2021-12-10T07:40:40,2021-12-10T16:31:23,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/11/2021,-1,-5.2,-2.9,-6,-10.3,-8.3,-7.3,72.3,0.708,100,16.67,"rain,snow",3.7,8.6,50,25.6,276.9,1007.1,28.8,13.6,81.3,6.9,4,,2021-12-11T07:41:32,2021-12-11T16:31:26,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/12/2021,2.6,-4.8,-1.2,-0.4,-10,-5.4,-7.3,63.9,0,0,0,,0,8,42.5,19.5,194.1,1010.2,16.7,16,72.8,6.3,4,,2021-12-12T07:42:23,2021-12-12T16:31:32,0.28,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
"Minneapolis, MN",12/13/2021,4.5,-5.9,-1.6,4.5,-8.1,-2.5,-5.7,73.9,0,0,0,,0,6.7,,8.6,31.7,1019.9,24.5,15.5,63.8,5.5,3,,2021-12-13T07:43:12,2021-12-13T16:31:41,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HPN07,F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
